"timp","frecventa","tip","year","month","dens"
1984-04-23,1.92568494341562,"Landsat","1984","04",0.0125985064045989
1984-05-09,28.3984436880112,"Landsat","1984","05",0.185792580404899
1984-06-26,19.2228485764073,"Landsat","1984","06",0.125762618507545
1984-08-29,0.130980577010011,"Landsat","1984","08",0.000856920881051166
1984-09-14,0.0652971018132503,"Landsat","1984","09",0.000427196545420788
1984-09-30,19.6069037196166,"Landsat","1984","09",0.128275241975878
1984-11-01,0.839975735751516,"Landsat","1984","11",0.00549541591564966
1985-02-05,20.6184292376467,"Landsat","1985","02",0.134892996744585
1985-02-21,0,"Landsat","1985","02",0
1985-05-12,32.0033073561628,"Landsat","1985","05",0.209376863060378
1985-06-13,3.91782610879502,"Landsat","1985","06",0.0256317927252473
1985-06-29,42.3465228327351,"Landsat","1985","06",0.277045806971115
1985-07-15,19.0512987941287,"Landsat","1985","07",0.124640279654486
1985-07-31,0,"Landsat","1985","07",0
1985-09-01,30.5582709018341,"Landsat","1985","09",0.19992292767651
1985-11-04,1.37162551146177,"Landsat","1985","11",0.00897365524404614
1986-03-28,87.6978714690302,"Landsat","1986","03",0.573750238402214
1986-04-29,27.0755012228718,"Landsat","1986","04",0.177137426727261
1986-05-15,0,"Landsat","1986","05",0
1986-05-31,8.22086648094986,"Landsat","1986","05",0.0537837922894563
1986-06-16,59.2372216662739,"Landsat","1986","06",0.387550683773571
1986-07-18,1.01963935908383,"Landsat","1986","07",0.00667083836310923
1986-08-03,0,"Landsat","1986","08",0
1986-08-19,0.431965442764579,"Landsat","1986","08",0.00282606945432214
1986-09-04,0.299052998837016,"Landsat","1986","09",0.00195650962222302
1986-09-20,38.1845087455615,"Landsat","1986","09",0.249816450833406
1986-10-06,0.137162551146177,"Landsat","1986","10",0.000897365524404614
1986-10-22,0.0618197413616571,"Landsat","1986","10",0.000404446433534474
1987-01-10,11.0641882102026,"Landsat","1987","01",0.0723858004418324
1987-02-27,3.32937944570874,"Landsat","1987","02",0.021781968236041
1987-04-16,1.30748752979905,"Landsat","1987","04",0.00855404206925412
1987-05-18,0,"Landsat","1987","05",0
1987-06-19,7.45043795423021,"Landsat","1987","06",0.0487433786115329
1987-07-21,0.0417283254191185,"Landsat","1987","07",0.00027300134263577
1987-09-07,0,"Landsat","1987","09",0
1987-09-23,0.109730040916941,"Landsat","1987","09",0.000717892419523691
1987-10-25,49.9275549905918,"Landsat","1987","10",0.326643578673489
1987-12-12,0.116298388436617,"Landsat","1987","12",0.000760864853086729
1988-01-05,96.7509862180614,"Landsat","1988","01",0.632978890803128
1988-03-17,12.0042346522833,"Landsat","1988","03",0.078535914021766
1988-05-04,97.4850956467311,"Landsat","1988","05",0.63778169220135
1988-05-20,0.0587287542935742,"Landsat","1988","05",0.00038422411185775
1988-06-21,57.6387949786915,"Landsat","1988","06",0.377093215676495
1988-07-07,0.0560241406090017,"Landsat","1988","07",0.000366529580390617
1988-07-15,0,"Landsat","1988","07",0
1988-07-23,6.63634923517389,"Landsat","1988","07",0.0434173246399258
1988-07-31,17.625967382359,"Landsat","1988","07",0.115315261571307
1988-08-08,17.9779535347369,"Landsat","1988","08",0.117618078452244
1988-08-16,0.644470803695275,"Landsat","1988","08",0.00421635406959689
1988-08-24,78.4341832259859,"Landsat","1988","08",0.513143940337073
1988-09-01,0.570287114061287,"Landsat","1988","09",0.00373101834935552
1988-09-09,36.0470911879822,"Landsat","1988","09",0.235832715393952
1988-09-17,14.0438997438344,"Landsat","1988","09",0.0918801185381941
1988-09-25,8.81317687787124,"Landsat","1988","09",0.0576588946807584
1988-10-11,11.3949238264874,"Landsat","1988","10",0.0745495888612419
1988-10-27,0.70358593137236,"Landsat","1988","10",0.00460310597166423
1989-02-16,94.8299377552479,"Landsat","1989","02",0.620410717881044
1989-03-20,72.1293423538639,"Landsat","1989","03",0.471895459696976
1989-04-21,0,"Landsat","1989","04",0
1989-08-11,71.7081953658376,"Landsat","1989","08",0.469140168368523
1989-08-27,0.055251393841981,"Landsat","1989","08",0.000361473999971436
1989-10-14,0.146435512350425,"Landsat","1989","10",0.000958032489434785
1989-11-15,73.0863892248191,"Landsat","1989","11",0.478156796046132
1990-01-18,27.6600841521229,"Landsat","1990","01",0.180961973314372
1990-03-07,46.7905894898712,"Landsat","1990","03",0.306120449961824
1990-03-23,0.391009864112481,"Landsat","1990","03",0.00255812369210555
1990-05-10,0,"Landsat","1990","05",0
1990-06-11,98.7357862891541,"Landsat","1990","06",0.645964149109794
1990-06-27,48.2700131753324,"Landsat","1990","06",0.315799358674346
1990-07-13,41.6564599697856,"Landsat","1990","07",0.272531173656786
1990-07-29,0.1081845473829,"Landsat","1990","07",0.000707781258685329
1990-08-14,0.0591151276770846,"Landsat","1990","08",0.000386751902067341
1990-08-30,0.689676489565987,"Landsat","1990","08",0.00451210552411897
1990-09-15,0.143730898665853,"Landsat","1990","09",0.000940337957967652
1990-10-01,0.0413419520356082,"Landsat","1990","10",0.000270473552426179
1990-10-17,0.0556377672254914,"Landsat","1990","10",0.000364001790181026
1990-11-18,0.205164266643999,"Landsat","1990","11",0.00134225660129253
1991-01-05,51.6724171905246,"Landsat","1991","01",0.33805907926
1991-01-21,26.5651019832546,"Landsat","1991","01",0.173798215860392
1991-04-27,0.654130138283034,"Landsat","1991","04",0.00427954882483665
1991-06-14,0,"Landsat","1991","06",0
1991-07-16,74.8227512103146,"Landsat","1991","07",0.489516685248031
1991-08-01,55.139345560763,"Landsat","1991","08",0.360740940810655
1991-08-17,5.13528864023615,"Landsat","1991","08",0.0335968596756668
1991-09-02,92.0507540076579,"Landsat","1991","09",0.60222832290346
1991-11-05,60.5663461055495,"Landsat","1991","11",0.396246282094562
1991-12-07,0.154549353404143,"Landsat","1991","12",0.00101111608383618
1992-04-13,94.8894392563085,"Landsat","1992","04",0.620799997573321
1992-05-15,57.3536514216609,"Landsat","1992","05",0.375227706501818
1992-06-16,1.35192046890274,"Landsat","1992","06",0.00884473794335702
1992-06-24,0,"Landsat","1992","06",0
1992-07-02,0,"Landsat","1992","07",0
1992-07-10,0.230664909955683,"Landsat","1992","07",0.00150909075512551
1992-07-18,32.3297928652291,"Landsat","1992","07",0.211512845787482
1992-07-26,2.79772966999849,"Landsat","1992","07",0.0183037289076445
1992-08-03,0.0386373383510357,"Landsat","1992","08",0.000252779020959046
1992-08-19,0.0703199557988849,"Landsat","1992","08",0.000460057818145464
1992-09-04,0.276643342593415,"Landsat","1992","09",0.00180989779006677
1992-09-20,81.4343725489438,"Landsat","1992","09",0.532772231314543
1992-11-23,19.5512659523911,"Landsat","1992","11",0.127911240185697
1993-01-10,4.10328533287999,"Landsat","1993","01",0.0268451320258507
1993-01-26,1.38244396620006,"Landsat","1993","01",0.00904443336991467
1993-02-27,4.30960871967452,"Landsat","1993","02",0.028194971997772
1993-05-02,21.3185378085674,"Landsat","1993","05",0.139473352604363
1993-06-03,80.8165615087108,"Landsat","1993","06",0.528730294769408
1993-06-19,42.3403408585989,"Landsat","1993","06",0.277005362327761
1993-07-21,0.0776610500855817,"Landsat","1993","07",0.000508085832127683
1993-08-06,0.160344954156798,"Landsat","1993","08",0.00104903293698004
1993-08-22,0.202073279575917,"Landsat","1993","08",0.00132203427961581
1993-09-07,0.0946614789600374,"Landsat","1993","09",0.000619308601349663
1993-09-23,0.278575209510967,"Landsat","1993","09",0.00182253674111472
1993-10-09,98.6963762040361,"Landsat","1993","10",0.645706314508416
1994-01-29,43.6161457709501,"Landsat","1994","01",0.285352125599829
1994-02-14,0.407237546219916,"Landsat","1994","02",0.00266429088090835
1994-03-18,0.0989115861786513,"Landsat","1994","03",0.000647114293655158
1994-04-03,16.9594732958036,"Landsat","1994","04",0.110954823459764
1994-05-05,0.120548495655231,"Landsat","1994","05",0.000788670545392224
1994-05-21,15.2988404934761,"Landsat","1994","05",0.100090381138944
1994-06-22,0.0880931314403613,"Landsat","1994","06",0.000576336167786625
1994-07-24,21.6871380164363,"Landsat","1994","07",0.141884864464313
1994-09-10,95.5474331284266,"Landsat","1994","09",0.625104824300254
1994-09-26,0.196664052206772,"Landsat","1994","09",0.00128664521668154
1994-10-12,0.917250412453587,"Landsat","1994","10",0.00600097395756775
1994-10-28,0.8990908634286,"Landsat","1994","10",0.005882167817717
1994-11-29,98.2729109757087,"Landsat","1994","11",0.642935856438705
1995-02-01,0,"Landsat","1995","02",0
1995-03-05,0.562173273007569,"Landsat","1995","03",0.00367793475495412
1995-03-21,98.6407384368106,"Landsat","1995","03",0.645342312718235
1995-04-22,0,"Landsat","1995","04",0
1995-05-08,56.6025415641167,"Landsat","1995","05",0.370313682334374
1995-06-09,2.77686550728893,"Landsat","1995","06",0.0181672282363266
1995-07-11,51.2636341507706,"Landsat","1995","07",0.335384677218253
1995-07-27,5.99419667177967,"Landsat","1995","07",0.0392161373115864
1995-08-12,42.4705486888419,"Landsat","1995","08",0.277857227628393
1995-09-13,0.0807520371536646,"Landsat","1995","09",0.000528308153804406
1996-04-24,0,"Landsat","1996","04",0
1996-05-10,2.08564352418891,"Landsat","1996","05",0.0136450115513693
1996-06-11,0.141412658364791,"Landsat","1996","06",0.000925171216710109
1996-06-27,71.9060185381949,"Landsat","1996","06",0.470434396955833
1996-07-13,4.97146632562776,"Landsat","1996","07",0.0325250766268005
1996-07-29,0.170777035511578,"Landsat","1996","07",0.00111728327263898
1996-08-14,46.7604523659574,"Landsat","1996","08",0.305923282325476
1996-09-15,11.4188789762651,"Landsat","1996","09",0.0747063118542365
1996-10-01,0.0892522515908924,"Landsat","1996","10",0.000583919538415397
1996-11-02,5.51122994239173,"Landsat","1996","11",0.0360563995495983
1997-04-11,52.2519772657901,"Landsat","1997","04",0.341850764574385
1997-04-27,23.858942805148,"Landsat","1997","04",0.156093573232421
1997-05-13,0.0900249983579131,"Landsat","1997","05",0.000588975118834578
1997-06-14,0.872044726582875,"Landsat","1997","06",0.00570522250304567
1997-06-30,8.15479663236959,"Landsat","1997","06",0.0533515401636163
1997-07-16,27.8961582894478,"Landsat","1997","07",0.182506453132431
1997-08-01,61.0732679847151,"Landsat","1997","08",0.399562742849545
1997-08-17,0.0540922736914499,"Landsat","1997","08",0.000353890629342665
1997-09-02,4.04223833828535,"Landsat","1997","09",0.0264457411727354
1997-09-18,0.0850021443722785,"Landsat","1997","09",0.000556113846109902
1997-10-04,0.0919568652754649,"Landsat","1997","10",0.00060161406988253
1997-10-20,0.655289258433565,"Landsat","1997","10",0.00428713219546542
1997-11-05,1.19853023564913,"Landsat","1997","11",0.00784120523014961
1998-01-24,0.530104282176209,"Landsat","1998","01",0.00346812816755811
1998-04-14,11.5606780080134,"Landsat","1998","04",0.0756340108611562
1998-06-01,6.12092714157107,"Landsat","1998","06",0.0400452525003321
1998-06-17,41.0672405599323,"Landsat","1998","06",0.268676293587161
1998-07-03,1.52926585193399,"Landsat","1998","07",0.010004993649559
1998-07-19,0,"Landsat","1998","07",0
1998-08-04,0,"Landsat","1998","08",0
1998-08-20,35.9134059972877,"Landsat","1998","08",0.234958099981433
