"","timp","frecventa","tip","Day_night"
"1",2002-07-04,15.4545454545455,"MYD11A1","Night"
"2",2002-07-05,100,"MYD11A1","Night"
"3",2002-07-06,100,"MYD11A1","Night"
"4",2002-07-07,0,"MYD11A1","Night"
"5",2002-07-08,100,"MYD11A1","Night"
"6",2002-07-09,100,"MYD11A1","Night"
"7",2002-07-10,100,"MYD11A1","Night"
"8",2002-07-11,100,"MYD11A1","Night"
"9",2002-07-12,4.54545454545455,"MYD11A1","Night"
"10",2002-07-13,100,"MYD11A1","Night"
"11",2002-07-14,0,"MYD11A1","Night"
"12",2002-07-15,100,"MYD11A1","Night"
"13",2002-07-16,0,"MYD11A1","Night"
"14",2002-07-17,100,"MYD11A1","Night"
"15",2002-07-18,100,"MYD11A1","Night"
"16",2002-07-19,0,"MYD11A1","Night"
"17",2002-07-20,100,"MYD11A1","Night"
"18",2002-07-21,100,"MYD11A1","Night"
"19",2002-07-22,100,"MYD11A1","Night"
"20",2002-07-23,60.9090909090909,"MYD11A1","Night"
"21",2002-07-24,100,"MYD11A1","Night"
"22",2002-07-25,0,"MYD11A1","Night"
"23",2002-07-26,100,"MYD11A1","Night"
"24",2002-07-27,100,"MYD11A1","Night"
"25",2002-07-28,4.54545454545455,"MYD11A1","Night"
"26",2002-07-29,100,"MYD11A1","Night"
"27",2002-08-08,100,"MYD11A1","Night"
"28",2002-08-09,100,"MYD11A1","Night"
"29",2002-08-10,100,"MYD11A1","Night"
"30",2002-08-11,100,"MYD11A1","Night"
"31",2002-08-12,100,"MYD11A1","Night"
"32",2002-08-13,100,"MYD11A1","Night"
"33",2002-08-14,100,"MYD11A1","Night"
"34",2002-08-15,100,"MYD11A1","Night"
"35",2002-08-16,100,"MYD11A1","Night"
"36",2002-08-17,100,"MYD11A1","Night"
"37",2002-08-18,100,"MYD11A1","Night"
"38",2002-08-19,0,"MYD11A1","Night"
"39",2002-08-20,0,"MYD11A1","Night"
"40",2002-08-21,100,"MYD11A1","Night"
"41",2002-08-22,0,"MYD11A1","Night"
"42",2002-08-23,100,"MYD11A1","Night"
"43",2002-08-24,0,"MYD11A1","Night"
"44",2002-08-25,0,"MYD11A1","Night"
"45",2002-08-26,0,"MYD11A1","Night"
"46",2002-08-27,0,"MYD11A1","Night"
"47",2002-08-28,0,"MYD11A1","Night"
"48",2002-08-29,0,"MYD11A1","Night"
"49",2002-08-30,100,"MYD11A1","Night"
"50",2002-08-31,0,"MYD11A1","Night"
"51",2002-09-01,0,"MYD11A1","Night"
"52",2002-09-02,100,"MYD11A1","Night"
"53",2002-09-03,100,"MYD11A1","Night"
"54",2002-09-04,16.3636363636364,"MYD11A1","Night"
"55",2002-09-05,14.5454545454545,"MYD11A1","Night"
"56",2002-09-06,100,"MYD11A1","Night"
"57",2002-09-07,0,"MYD11A1","Night"
"58",2002-09-08,100,"MYD11A1","Night"
"59",2002-09-09,0,"MYD11A1","Night"
"60",2002-09-10,100,"MYD11A1","Night"
"61",2002-09-11,91.8181818181818,"MYD11A1","Night"
"62",2002-09-12,100,"MYD11A1","Night"
"63",2002-09-14,2.72727272727273,"MYD11A1","Night"
"64",2002-09-15,100,"MYD11A1","Night"
"65",2002-09-16,0,"MYD11A1","Night"
"66",2002-09-17,0,"MYD11A1","Night"
"67",2002-09-18,61.8181818181818,"MYD11A1","Night"
"68",2002-09-19,100,"MYD11A1","Night"
"69",2002-09-20,50.9090909090909,"MYD11A1","Night"
"70",2002-09-21,84.5454545454545,"MYD11A1","Night"
"71",2002-09-22,100,"MYD11A1","Night"
"72",2002-09-23,100,"MYD11A1","Night"
"73",2002-09-24,100,"MYD11A1","Night"
"74",2002-09-25,100,"MYD11A1","Night"
"75",2002-09-26,24.5454545454545,"MYD11A1","Night"
"76",2002-09-27,0,"MYD11A1","Night"
"77",2002-09-28,6.36363636363636,"MYD11A1","Night"
"78",2002-09-29,100,"MYD11A1","Night"
"79",2002-09-30,97.2727272727273,"MYD11A1","Night"
"80",2002-10-01,100,"MYD11A1","Night"
"81",2002-10-02,22.7272727272727,"MYD11A1","Night"
"82",2002-10-03,100,"MYD11A1","Night"
"83",2002-10-04,0,"MYD11A1","Night"
"84",2002-10-05,0,"MYD11A1","Night"
"85",2002-10-06,0,"MYD11A1","Night"
"86",2002-10-07,100,"MYD11A1","Night"
"87",2002-10-08,100,"MYD11A1","Night"
"88",2002-10-09,0,"MYD11A1","Night"
"89",2002-10-10,100,"MYD11A1","Night"
"90",2002-10-11,100,"MYD11A1","Night"
"91",2002-10-12,100,"MYD11A1","Night"
"92",2002-10-13,100,"MYD11A1","Night"
"93",2002-10-14,100,"MYD11A1","Night"
"94",2002-10-15,84.5454545454545,"MYD11A1","Night"
"95",2002-10-16,97.2727272727273,"MYD11A1","Night"
"96",2002-10-17,100,"MYD11A1","Night"
"97",2002-10-18,12.7272727272727,"MYD11A1","Night"
"98",2002-10-19,100,"MYD11A1","Night"
"99",2002-10-20,47.2727272727273,"MYD11A1","Night"
"100",2002-10-21,36.3636363636364,"MYD11A1","Night"
"101",2002-10-22,21.8181818181818,"MYD11A1","Night"
"102",2002-10-23,0,"MYD11A1","Night"
"103",2002-10-24,100,"MYD11A1","Night"
"104",2002-10-25,100,"MYD11A1","Night"
"105",2002-10-26,100,"MYD11A1","Night"
"106",2002-10-27,100,"MYD11A1","Night"
"107",2002-10-28,100,"MYD11A1","Night"
"108",2002-10-29,0,"MYD11A1","Night"
"109",2002-10-30,0,"MYD11A1","Night"
"110",2002-10-31,69.0909090909091,"MYD11A1","Night"
"111",2002-11-01,100,"MYD11A1","Night"
"112",2002-11-02,100,"MYD11A1","Night"
"113",2002-11-03,82.7272727272727,"MYD11A1","Night"
"114",2002-11-04,40.9090909090909,"MYD11A1","Night"
"115",2002-11-05,93.6363636363636,"MYD11A1","Night"
"116",2002-11-06,71.8181818181818,"MYD11A1","Night"
"117",2002-11-07,100,"MYD11A1","Night"
"118",2002-11-08,100,"MYD11A1","Night"
"119",2002-11-09,100,"MYD11A1","Night"
"120",2002-11-10,96.3636363636364,"MYD11A1","Night"
"121",2002-11-11,100,"MYD11A1","Night"
