"","timp","frecventa","tip","Day_night"
"1",2002-07-04,0,"MYD11A1","Day"
"2",2002-07-05,100,"MYD11A1","Day"
"3",2002-07-06,50.7936507936508,"MYD11A1","Day"
"4",2002-07-07,82.9365079365079,"MYD11A1","Day"
"5",2002-07-08,100,"MYD11A1","Day"
"6",2002-07-09,61.5079365079365,"MYD11A1","Day"
"7",2002-07-10,44.8412698412698,"MYD11A1","Day"
"8",2002-07-11,100,"MYD11A1","Day"
"9",2002-07-12,74.6031746031746,"MYD11A1","Day"
"10",2002-07-13,22.6190476190476,"MYD11A1","Day"
"11",2002-07-14,54.3650793650794,"MYD11A1","Day"
"12",2002-07-15,3.57142857142857,"MYD11A1","Day"
"13",2002-07-16,18.2539682539683,"MYD11A1","Day"
"14",2002-07-17,96.4285714285714,"MYD11A1","Day"
"15",2002-07-18,67.8571428571429,"MYD11A1","Day"
"16",2002-07-19,100,"MYD11A1","Day"
"17",2002-07-20,45.2380952380952,"MYD11A1","Day"
"18",2002-07-21,100,"MYD11A1","Day"
"19",2002-07-22,99.6031746031746,"MYD11A1","Day"
"20",2002-07-23,15.0793650793651,"MYD11A1","Day"
"21",2002-07-24,100,"MYD11A1","Day"
"22",2002-07-25,100,"MYD11A1","Day"
"23",2002-07-26,100,"MYD11A1","Day"
"24",2002-07-27,100,"MYD11A1","Day"
"25",2002-07-28,10.7142857142857,"MYD11A1","Day"
"26",2002-07-29,100,"MYD11A1","Day"
"27",2002-08-08,100,"MYD11A1","Day"
"28",2002-08-09,100,"MYD11A1","Day"
"29",2002-08-10,79.7619047619048,"MYD11A1","Day"
"30",2002-08-11,96.4285714285714,"MYD11A1","Day"
"31",2002-08-12,50.7936507936508,"MYD11A1","Day"
"32",2002-08-13,50,"MYD11A1","Day"
"33",2002-08-14,100,"MYD11A1","Day"
"34",2002-08-15,100,"MYD11A1","Day"
"35",2002-08-16,100,"MYD11A1","Day"
"36",2002-08-17,100,"MYD11A1","Day"
"37",2002-08-18,2.38095238095238,"MYD11A1","Day"
"38",2002-08-19,99.6031746031746,"MYD11A1","Day"
"39",2002-08-20,0,"MYD11A1","Day"
"40",2002-08-21,70.2380952380952,"MYD11A1","Day"
"41",2002-08-22,100,"MYD11A1","Day"
"42",2002-08-23,15.4761904761905,"MYD11A1","Day"
"43",2002-08-24,4.76190476190476,"MYD11A1","Day"
"44",2002-08-25,17.8571428571429,"MYD11A1","Day"
"45",2002-08-26,67.4603174603175,"MYD11A1","Day"
"46",2002-08-27,0.396825396825397,"MYD11A1","Day"
"47",2002-08-28,19.4444444444444,"MYD11A1","Day"
"48",2002-08-29,3.96825396825397,"MYD11A1","Day"
"49",2002-08-30,3.96825396825397,"MYD11A1","Day"
"50",2002-08-31,23.015873015873,"MYD11A1","Day"
"51",2002-09-01,74.6031746031746,"MYD11A1","Day"
"52",2002-09-02,71.4285714285714,"MYD11A1","Day"
"53",2002-09-03,100,"MYD11A1","Day"
"54",2002-09-04,64.2857142857143,"MYD11A1","Day"
"55",2002-09-05,100,"MYD11A1","Day"
"56",2002-09-06,52.7777777777778,"MYD11A1","Day"
"57",2002-09-07,100,"MYD11A1","Day"
"58",2002-09-08,36.1111111111111,"MYD11A1","Day"
"59",2002-09-09,100,"MYD11A1","Day"
"60",2002-09-10,100,"MYD11A1","Day"
"61",2002-09-11,100,"MYD11A1","Day"
"62",2002-09-12,100,"MYD11A1","Day"
"63",2002-09-14,100,"MYD11A1","Day"
"64",2002-09-15,0,"MYD11A1","Day"
"65",2002-09-16,0,"MYD11A1","Day"
"66",2002-09-17,75.7936507936508,"MYD11A1","Day"
"67",2002-09-18,100,"MYD11A1","Day"
"68",2002-09-19,100,"MYD11A1","Day"
"69",2002-09-20,62.3015873015873,"MYD11A1","Day"
"70",2002-09-21,100,"MYD11A1","Day"
"71",2002-09-22,100,"MYD11A1","Day"
"72",2002-09-23,100,"MYD11A1","Day"
"73",2002-09-24,100,"MYD11A1","Day"
"74",2002-09-25,100,"MYD11A1","Day"
"75",2002-09-26,100,"MYD11A1","Day"
"76",2002-09-27,100,"MYD11A1","Day"
"77",2002-09-28,100,"MYD11A1","Day"
"78",2002-09-29,100,"MYD11A1","Day"
"79",2002-09-30,100,"MYD11A1","Day"
"80",2002-10-01,88.4920634920635,"MYD11A1","Day"
"81",2002-10-02,99.6031746031746,"MYD11A1","Day"
"82",2002-10-03,0,"MYD11A1","Day"
"83",2002-10-04,26.984126984127,"MYD11A1","Day"
"84",2002-10-05,100,"MYD11A1","Day"
"85",2002-10-06,100,"MYD11A1","Day"
"86",2002-10-07,100,"MYD11A1","Day"
"87",2002-10-08,64.6825396825397,"MYD11A1","Day"
"88",2002-10-09,0,"MYD11A1","Day"
"89",2002-10-10,100,"MYD11A1","Day"
"90",2002-10-11,100,"MYD11A1","Day"
"91",2002-10-12,100,"MYD11A1","Day"
"92",2002-10-13,100,"MYD11A1","Day"
"93",2002-10-14,100,"MYD11A1","Day"
"94",2002-10-15,100,"MYD11A1","Day"
"95",2002-10-16,56.3492063492063,"MYD11A1","Day"
"96",2002-10-17,0,"MYD11A1","Day"
"97",2002-10-18,82.1428571428571,"MYD11A1","Day"
"98",2002-10-19,1.19047619047619,"MYD11A1","Day"
"99",2002-10-20,93.6507936507936,"MYD11A1","Day"
"100",2002-10-21,0,"MYD11A1","Day"
"101",2002-10-22,25.3968253968254,"MYD11A1","Day"
"102",2002-10-23,0,"MYD11A1","Day"
"103",2002-10-24,100,"MYD11A1","Day"
"104",2002-10-25,18.6507936507937,"MYD11A1","Day"
"105",2002-10-26,100,"MYD11A1","Day"
"106",2002-10-27,36.1111111111111,"MYD11A1","Day"
"107",2002-10-28,65.8730158730159,"MYD11A1","Day"
"108",2002-10-29,100,"MYD11A1","Day"
"109",2002-10-30,100,"MYD11A1","Day"
"110",2002-10-31,54.3650793650794,"MYD11A1","Day"
"111",2002-11-01,100,"MYD11A1","Day"
"112",2002-11-02,56.7460317460317,"MYD11A1","Day"
"113",2002-11-03,100,"MYD11A1","Day"
"114",2002-11-04,100,"MYD11A1","Day"
"115",2002-11-05,100,"MYD11A1","Day"
"116",2002-11-06,100,"MYD11A1","Day"
"117",2002-11-07,100,"MYD11A1","Day"
"118",2002-11-08,100,"MYD11A1","Day"
"119",2002-11-09,64.6825396825397,"MYD11A1","Day"
"120",2002-11-10,100,"MYD11A1","Day"
"121",2002-11-11,1.98412698412698,"MYD11A1","Day"
"122",2002-11-12,100,"MYD11A1","Day"
"123",2002-11-13,28.1746031746032,"MYD11A1","Day"
"124",2002-11-14,100,"MYD11A1","Day"
"125",2002-11-15,100,"MYD11A1","Day"
"126",2002-11-16,96.031746031746,"MYD11A1","Day"
"127",2002-11-17,100,"MYD11A1","Day"
"128",2002-11-18,36.1111111111111,"MYD11A1","Day"
"129",2002-11-19,6.34920634920635,"MYD11A1","Day"
"130",2002-11-20,44.4444444444444,"MYD11A1","Day"
"131",2002-11-21,0.396825396825397,"MYD11A1","Day"
"132",2002-11-22,100,"MYD11A1","Day"
"133",2002-11-23,100,"MYD11A1","Day"
"134",2002-11-24,6.34920634920635,"MYD11A1","Day"
"135",2002-11-25,100,"MYD11A1","Day"
"136",2002-11-26,100,"MYD11A1","Day"
"137",2002-11-27,38.4920634920635,"MYD11A1","Day"
"138",2002-11-28,100,"MYD11A1","Day"
"139",2002-11-29,1.58730158730159,"MYD11A1","Day"
"140",2002-11-30,100,"MYD11A1","Day"
"141",2002-12-01,100,"MYD11A1","Day"
"142",2002-12-02,100,"MYD11A1","Day"
"143",2002-12-03,100,"MYD11A1","Day"
"144",2002-12-04,100,"MYD11A1","Day"
"145",2002-12-05,100,"MYD11A1","Day"
"146",2002-12-06,100,"MYD11A1","Day"
"147",2002-12-07,100,"MYD11A1","Day"
"148",2002-12-08,100,"MYD11A1","Day"
"149",2002-12-09,100,"MYD11A1","Day"
"150",2002-12-10,73.015873015873,"MYD11A1","Day"
"151",2002-12-11,89.6825396825397,"MYD11A1","Day"
"152",2002-12-12,39.2857142857143,"MYD11A1","Day"
"153",2002-12-13,73.4126984126984,"MYD11A1","Day"
"154",2002-12-14,100,"MYD11A1","Day"
"155",2002-12-15,100,"MYD11A1","Day"
"156",2002-12-16,100,"MYD11A1","Day"
"157",2002-12-17,100,"MYD11A1","Day"
"158",2002-12-18,95.2380952380952,"MYD11A1","Day"
"159",2002-12-19,100,"MYD11A1","Day"
"160",2002-12-20,97.6190476190476,"MYD11A1","Day"
"161",2002-12-21,62.3015873015873,"MYD11A1","Day"
"162",2002-12-22,90.0793650793651,"MYD11A1","Day"
"163",2002-12-23,100,"MYD11A1","Day"
"164",2002-12-24,36.5079365079365,"MYD11A1","Day"
"165",2002-12-25,3.96825396825397,"MYD11A1","Day"
