"","timp","frecventa","tip","Day_night"
"1",2002-07-04,0,"MYD11A1","Day"
"2",2002-07-05,0,"MYD11A1","Day"
"3",2002-07-06,100,"MYD11A1","Day"
"4",2002-07-07,85.8585858585859,"MYD11A1","Day"
"5",2002-07-08,24.4107744107744,"MYD11A1","Day"
"6",2002-07-09,6.56565656565657,"MYD11A1","Day"
"7",2002-07-10,0,"MYD11A1","Day"
"8",2002-07-11,100,"MYD11A1","Day"
"9",2002-07-12,6.22895622895623,"MYD11A1","Day"
"10",2002-07-13,10.4377104377104,"MYD11A1","Day"
"11",2002-07-14,5.72390572390572,"MYD11A1","Day"
"12",2002-07-15,9.09090909090909,"MYD11A1","Day"
"13",2002-07-16,0.336700336700337,"MYD11A1","Day"
"14",2002-07-17,48.989898989899,"MYD11A1","Day"
"15",2002-07-18,100,"MYD11A1","Day"
"16",2002-07-19,73.4006734006734,"MYD11A1","Day"
"17",2002-07-20,73.2323232323232,"MYD11A1","Day"
"18",2002-07-21,100,"MYD11A1","Day"
"19",2002-07-22,67.6767676767677,"MYD11A1","Day"
"20",2002-07-23,19.023569023569,"MYD11A1","Day"
"21",2002-07-24,100,"MYD11A1","Day"
"22",2002-07-25,100,"MYD11A1","Day"
"23",2002-07-26,100,"MYD11A1","Day"
"24",2002-07-27,100,"MYD11A1","Day"
"25",2002-07-28,31.6498316498317,"MYD11A1","Day"
"26",2002-07-29,80.6397306397306,"MYD11A1","Day"
"27",2002-08-08,100,"MYD11A1","Day"
"28",2002-08-09,100,"MYD11A1","Day"
"29",2002-08-10,5.89225589225589,"MYD11A1","Day"
"30",2002-08-11,40.9090909090909,"MYD11A1","Day"
"31",2002-08-12,87.2053872053872,"MYD11A1","Day"
"32",2002-08-13,100,"MYD11A1","Day"
"33",2002-08-14,100,"MYD11A1","Day"
"34",2002-08-15,100,"MYD11A1","Day"
"35",2002-08-16,100,"MYD11A1","Day"
"36",2002-08-17,87.2053872053872,"MYD11A1","Day"
"37",2002-08-18,36.3636363636364,"MYD11A1","Day"
"38",2002-08-19,100,"MYD11A1","Day"
"39",2002-08-20,4.71380471380471,"MYD11A1","Day"
"40",2002-08-21,0,"MYD11A1","Day"
"41",2002-08-22,88.5521885521886,"MYD11A1","Day"
"42",2002-08-23,0.168350168350168,"MYD11A1","Day"
"43",2002-08-24,44.7811447811448,"MYD11A1","Day"
"44",2002-08-25,84.8484848484848,"MYD11A1","Day"
"45",2002-08-26,15.4882154882155,"MYD11A1","Day"
"46",2002-08-27,0,"MYD11A1","Day"
"47",2002-08-28,0,"MYD11A1","Day"
"48",2002-08-29,0,"MYD11A1","Day"
"49",2002-08-30,12.4579124579125,"MYD11A1","Day"
"50",2002-08-31,2.35690235690236,"MYD11A1","Day"
"51",2002-09-01,45.959595959596,"MYD11A1","Day"
"52",2002-09-02,13.973063973064,"MYD11A1","Day"
"53",2002-09-03,0,"MYD11A1","Day"
"54",2002-09-04,3.36700336700337,"MYD11A1","Day"
"55",2002-09-05,100,"MYD11A1","Day"
"56",2002-09-06,84.6801346801347,"MYD11A1","Day"
"57",2002-09-07,95.7912457912458,"MYD11A1","Day"
"58",2002-09-08,87.7104377104377,"MYD11A1","Day"
"59",2002-09-09,88.047138047138,"MYD11A1","Day"
"60",2002-09-10,100,"MYD11A1","Day"
"61",2002-09-11,100,"MYD11A1","Day"
"62",2002-09-12,100,"MYD11A1","Day"
"63",2002-09-14,100,"MYD11A1","Day"
"64",2002-09-15,99.1582491582492,"MYD11A1","Day"
"65",2002-09-16,95.2861952861953,"MYD11A1","Day"
"66",2002-09-17,93.7710437710438,"MYD11A1","Day"
"67",2002-09-18,100,"MYD11A1","Day"
"68",2002-09-19,82.1548821548822,"MYD11A1","Day"
"69",2002-09-20,28.2828282828283,"MYD11A1","Day"
"70",2002-09-21,100,"MYD11A1","Day"
"71",2002-09-22,100,"MYD11A1","Day"
"72",2002-09-23,100,"MYD11A1","Day"
"73",2002-09-24,100,"MYD11A1","Day"
"74",2002-09-25,100,"MYD11A1","Day"
"75",2002-09-26,100,"MYD11A1","Day"
"76",2002-09-27,100,"MYD11A1","Day"
"77",2002-09-28,100,"MYD11A1","Day"
"78",2002-09-29,94.6127946127946,"MYD11A1","Day"
"79",2002-09-30,100,"MYD11A1","Day"
"80",2002-10-01,79.4612794612795,"MYD11A1","Day"
"81",2002-10-02,100,"MYD11A1","Day"
"82",2002-10-03,0,"MYD11A1","Day"
"83",2002-10-04,61.1111111111111,"MYD11A1","Day"
"84",2002-10-05,100,"MYD11A1","Day"
"85",2002-10-06,22.2222222222222,"MYD11A1","Day"
"86",2002-10-07,100,"MYD11A1","Day"
"87",2002-10-08,42.4242424242424,"MYD11A1","Day"
"88",2002-10-09,0,"MYD11A1","Day"
"89",2002-10-10,100,"MYD11A1","Day"
"90",2002-10-11,100,"MYD11A1","Day"
"91",2002-10-12,100,"MYD11A1","Day"
"92",2002-10-13,100,"MYD11A1","Day"
"93",2002-10-14,100,"MYD11A1","Day"
"94",2002-10-15,100,"MYD11A1","Day"
"95",2002-10-16,42.5925925925926,"MYD11A1","Day"
"96",2002-10-17,98.989898989899,"MYD11A1","Day"
"97",2002-10-18,98.6531986531987,"MYD11A1","Day"
"98",2002-10-19,8.08080808080808,"MYD11A1","Day"
"99",2002-10-20,1.68350168350168,"MYD11A1","Day"
"100",2002-10-21,0.336700336700337,"MYD11A1","Day"
"101",2002-10-22,0,"MYD11A1","Day"
"102",2002-10-23,55.2188552188552,"MYD11A1","Day"
"103",2002-10-24,90.2356902356902,"MYD11A1","Day"
"104",2002-10-25,0,"MYD11A1","Day"
"105",2002-10-26,2.02020202020202,"MYD11A1","Day"
"106",2002-10-27,41.7508417508418,"MYD11A1","Day"
"107",2002-10-28,93.7710437710438,"MYD11A1","Day"
"108",2002-10-29,91.2457912457913,"MYD11A1","Day"
"109",2002-10-30,100,"MYD11A1","Day"
"110",2002-10-31,22.2222222222222,"MYD11A1","Day"
"111",2002-11-01,100,"MYD11A1","Day"
"112",2002-11-02,100,"MYD11A1","Day"
"113",2002-11-03,100,"MYD11A1","Day"
"114",2002-11-04,100,"MYD11A1","Day"
"115",2002-11-05,100,"MYD11A1","Day"
"116",2002-11-06,100,"MYD11A1","Day"
"117",2002-11-07,100,"MYD11A1","Day"
"118",2002-11-08,100,"MYD11A1","Day"
"119",2002-11-09,100,"MYD11A1","Day"
"120",2002-11-10,100,"MYD11A1","Day"
"121",2002-11-11,0.673400673400673,"MYD11A1","Day"
"122",2002-11-12,100,"MYD11A1","Day"
"123",2002-11-13,1.01010101010101,"MYD11A1","Day"
"124",2002-11-14,100,"MYD11A1","Day"
"125",2002-11-15,100,"MYD11A1","Day"
"126",2002-11-16,100,"MYD11A1","Day"
"127",2002-11-17,100,"MYD11A1","Day"
"128",2002-11-18,100,"MYD11A1","Day"
"129",2002-11-19,0,"MYD11A1","Day"
"130",2002-11-20,100,"MYD11A1","Day"
"131",2002-11-21,0,"MYD11A1","Day"
"132",2002-11-22,87.3737373737374,"MYD11A1","Day"
"133",2002-11-23,100,"MYD11A1","Day"
"134",2002-11-24,0,"MYD11A1","Day"
"135",2002-11-25,20.5387205387205,"MYD11A1","Day"
"136",2002-11-26,100,"MYD11A1","Day"
"137",2002-11-27,74.7474747474748,"MYD11A1","Day"
"138",2002-11-28,100,"MYD11A1","Day"
"139",2002-11-29,100,"MYD11A1","Day"
"140",2002-11-30,100,"MYD11A1","Day"
"141",2002-12-01,100,"MYD11A1","Day"
"142",2002-12-02,100,"MYD11A1","Day"
"143",2002-12-03,100,"MYD11A1","Day"
"144",2002-12-04,100,"MYD11A1","Day"
"145",2002-12-05,100,"MYD11A1","Day"
"146",2002-12-06,100,"MYD11A1","Day"
"147",2002-12-07,100,"MYD11A1","Day"
"148",2002-12-08,100,"MYD11A1","Day"
"149",2002-12-09,78.956228956229,"MYD11A1","Day"
"150",2002-12-10,16.6666666666667,"MYD11A1","Day"
"151",2002-12-11,31.8181818181818,"MYD11A1","Day"
"152",2002-12-12,16.6666666666667,"MYD11A1","Day"
"153",2002-12-13,86.8686868686869,"MYD11A1","Day"
"154",2002-12-14,100,"MYD11A1","Day"
"155",2002-12-15,100,"MYD11A1","Day"
"156",2002-12-16,100,"MYD11A1","Day"
"157",2002-12-17,100,"MYD11A1","Day"
"158",2002-12-18,100,"MYD11A1","Day"
"159",2002-12-19,94.6127946127946,"MYD11A1","Day"
"160",2002-12-20,50.3367003367003,"MYD11A1","Day"
"161",2002-12-21,22.7272727272727,"MYD11A1","Day"
"162",2002-12-22,100,"MYD11A1","Day"
"163",2002-12-23,100,"MYD11A1","Day"
"164",2002-12-24,18.5185185185185,"MYD11A1","Day"
"165",2002-12-25,18.5185185185185,"MYD11A1","Day"
"166",2002-12-26,14.3097643097643,"MYD11A1","Day"
"167",2002-12-27,8.92255892255892,"MYD11A1","Day"
"168",2002-12-28,89.5622895622896,"MYD11A1","Day"
"169",2002-12-29,100,"MYD11A1","Day"
"170",2002-12-30,100,"MYD11A1","Day"
"171",2002-12-31,100,"MYD11A1","Day"
"172",2003-01-01,56.9023569023569,"MYD11A1","Day"
"173",2003-01-02,89.0572390572391,"MYD11A1","Day"
"174",2003-01-03,36.026936026936,"MYD11A1","Day"
"175",2003-01-04,100,"MYD11A1","Day"
"176",2003-01-05,100,"MYD11A1","Day"
"177",2003-01-06,100,"MYD11A1","Day"
"178",2003-01-07,100,"MYD11A1","Day"
"179",2003-01-08,97.6430976430976,"MYD11A1","Day"
"180",2003-01-09,100,"MYD11A1","Day"
"181",2003-01-10,100,"MYD11A1","Day"
"182",2003-01-11,76.7676767676768,"MYD11A1","Day"
"183",2003-01-12,0.168350168350168,"MYD11A1","Day"
"184",2003-01-13,100,"MYD11A1","Day"
"185",2003-01-14,100,"MYD11A1","Day"
"186",2003-01-15,100,"MYD11A1","Day"
"187",2003-01-16,3.87205387205387,"MYD11A1","Day"
"188",2003-01-17,80.1346801346801,"MYD11A1","Day"
"189",2003-01-18,35.1851851851852,"MYD11A1","Day"
"190",2003-01-19,100,"MYD11A1","Day"
"191",2003-01-20,100,"MYD11A1","Day"
"192",2003-01-21,100,"MYD11A1","Day"
"193",2003-01-22,100,"MYD11A1","Day"
"194",2003-01-23,100,"MYD11A1","Day"
"195",2003-01-24,100,"MYD11A1","Day"
"196",2003-01-25,100,"MYD11A1","Day"
"197",2003-01-26,100,"MYD11A1","Day"
"198",2003-01-27,100,"MYD11A1","Day"
"199",2003-01-28,100,"MYD11A1","Day"
"200",2003-01-29,44.1077441077441,"MYD11A1","Day"
"201",2003-01-30,100,"MYD11A1","Day"
"202",2003-01-31,100,"MYD11A1","Day"
"203",2003-02-01,100,"MYD11A1","Day"
"204",2003-02-02,98.1481481481482,"MYD11A1","Day"
"205",2003-02-03,2.35690235690236,"MYD11A1","Day"
"206",2003-02-04,100,"MYD11A1","Day"
"207",2003-02-05,100,"MYD11A1","Day"
"208",2003-02-06,100,"MYD11A1","Day"
"209",2003-02-07,55.8922558922559,"MYD11A1","Day"
"210",2003-02-08,100,"MYD11A1","Day"
"211",2003-02-09,100,"MYD11A1","Day"
"212",2003-02-10,100,"MYD11A1","Day"
"213",2003-02-11,99.6632996632997,"MYD11A1","Day"
"214",2003-02-12,4.54545454545455,"MYD11A1","Day"
"215",2003-02-13,0.505050505050505,"MYD11A1","Day"
"216",2003-02-14,1.34680134680135,"MYD11A1","Day"
"217",2003-02-15,100,"MYD11A1","Day"
"218",2003-02-16,100,"MYD11A1","Day"
"219",2003-02-17,21.2121212121212,"MYD11A1","Day"
"220",2003-02-18,100,"MYD11A1","Day"
"221",2003-02-19,100,"MYD11A1","Day"
"222",2003-02-20,99.6632996632997,"MYD11A1","Day"
"223",2003-02-21,15.4882154882155,"MYD11A1","Day"
"224",2003-02-22,4.88215488215488,"MYD11A1","Day"
"225",2003-02-23,0,"MYD11A1","Day"
"226",2003-02-24,97.8114478114478,"MYD11A1","Day"
"227",2003-02-25,59.5959595959596,"MYD11A1","Day"
"228",2003-02-26,51.010101010101,"MYD11A1","Day"
"229",2003-02-27,80.4713804713805,"MYD11A1","Day"
"230",2003-02-28,85.1851851851852,"MYD11A1","Day"
"231",2003-03-01,0,"MYD11A1","Day"
"232",2003-03-02,100,"MYD11A1","Day"
"233",2003-03-03,100,"MYD11A1","Day"
"234",2003-03-04,100,"MYD11A1","Day"
"235",2003-03-05,98.989898989899,"MYD11A1","Day"
"236",2003-03-06,52.8619528619529,"MYD11A1","Day"
"237",2003-03-07,93.6026936026936,"MYD11A1","Day"
"238",2003-03-08,100,"MYD11A1","Day"
"239",2003-03-09,32.1548821548822,"MYD11A1","Day"
"240",2003-03-10,96.1279461279461,"MYD11A1","Day"
"241",2003-03-11,100,"MYD11A1","Day"
"242",2003-03-12,100,"MYD11A1","Day"
"243",2003-03-13,100,"MYD11A1","Day"
"244",2003-03-14,100,"MYD11A1","Day"
"245",2003-03-15,96.2962962962963,"MYD11A1","Day"
"246",2003-03-16,100,"MYD11A1","Day"
"247",2003-03-17,6.3973063973064,"MYD11A1","Day"
"248",2003-03-18,100,"MYD11A1","Day"
"249",2003-03-19,96.4646464646465,"MYD11A1","Day"
"250",2003-03-20,100,"MYD11A1","Day"
"251",2003-03-21,88.2154882154882,"MYD11A1","Day"
"252",2003-03-22,83.3333333333333,"MYD11A1","Day"
"253",2003-03-23,74.7474747474748,"MYD11A1","Day"
"254",2003-03-24,28.4511784511784,"MYD11A1","Day"
"255",2003-03-25,3.1986531986532,"MYD11A1","Day"
"256",2003-03-26,5.55555555555556,"MYD11A1","Day"
"257",2003-03-27,0.336700336700337,"MYD11A1","Day"
"258",2003-03-28,0,"MYD11A1","Day"
"259",2003-03-29,0.673400673400673,"MYD11A1","Day"
"260",2003-03-30,100,"MYD11A1","Day"
"261",2003-03-31,100,"MYD11A1","Day"
"262",2003-04-01,0.336700336700337,"MYD11A1","Day"
"263",2003-04-02,5.05050505050505,"MYD11A1","Day"
"264",2003-04-03,0,"MYD11A1","Day"
"265",2003-04-04,100,"MYD11A1","Day"
"266",2003-04-05,94.1077441077441,"MYD11A1","Day"
"267",2003-04-06,100,"MYD11A1","Day"
"268",2003-04-07,98.989898989899,"MYD11A1","Day"
"269",2003-04-08,100,"MYD11A1","Day"
"270",2003-04-09,38.3838383838384,"MYD11A1","Day"
"271",2003-04-10,0.336700336700337,"MYD11A1","Day"
"272",2003-04-11,100,"MYD11A1","Day"
"273",2003-04-12,100,"MYD11A1","Day"
"274",2003-04-13,100,"MYD11A1","Day"
"275",2003-04-14,100,"MYD11A1","Day"
"276",2003-04-15,96.2962962962963,"MYD11A1","Day"
"277",2003-04-16,100,"MYD11A1","Day"
"278",2003-04-17,99.3265993265993,"MYD11A1","Day"
"279",2003-04-18,100,"MYD11A1","Day"
"280",2003-04-19,100,"MYD11A1","Day"
"281",2003-04-20,28.1144781144781,"MYD11A1","Day"
"282",2003-04-21,94.6127946127946,"MYD11A1","Day"
"283",2003-04-22,100,"MYD11A1","Day"
"284",2003-04-23,100,"MYD11A1","Day"
"285",2003-04-24,100,"MYD11A1","Day"
"286",2003-04-25,34.3434343434343,"MYD11A1","Day"
"287",2003-04-26,3.03030303030303,"MYD11A1","Day"
"288",2003-04-27,100,"MYD11A1","Day"
"289",2003-04-28,97.6430976430976,"MYD11A1","Day"
"290",2003-04-29,3.1986531986532,"MYD11A1","Day"
"291",2003-04-30,0,"MYD11A1","Day"
"292",2003-05-01,100,"MYD11A1","Day"
"293",2003-05-02,100,"MYD11A1","Day"
"294",2003-05-03,100,"MYD11A1","Day"
"295",2003-05-04,0,"MYD11A1","Day"
"296",2003-05-05,0,"MYD11A1","Day"
"297",2003-05-06,0,"MYD11A1","Day"
"298",2003-05-07,0,"MYD11A1","Day"
"299",2003-05-08,1.85185185185185,"MYD11A1","Day"
"300",2003-05-09,0,"MYD11A1","Day"
"301",2003-05-10,100,"MYD11A1","Day"
"302",2003-05-11,97.4747474747475,"MYD11A1","Day"
"303",2003-05-12,100,"MYD11A1","Day"
"304",2003-05-13,0,"MYD11A1","Day"
"305",2003-05-14,0,"MYD11A1","Day"
"306",2003-05-15,100,"MYD11A1","Day"
"307",2003-05-16,51.3468013468013,"MYD11A1","Day"
"308",2003-05-17,0.336700336700337,"MYD11A1","Day"
"309",2003-05-18,100,"MYD11A1","Day"
"310",2003-05-19,2.86195286195286,"MYD11A1","Day"
"311",2003-05-20,4.37710437710438,"MYD11A1","Day"
"312",2003-05-21,4.04040404040404,"MYD11A1","Day"
"313",2003-05-22,100,"MYD11A1","Day"
"314",2003-05-23,90.2356902356902,"MYD11A1","Day"
"315",2003-05-24,1.01010101010101,"MYD11A1","Day"
"316",2003-05-25,11.6161616161616,"MYD11A1","Day"
"317",2003-05-26,79.4612794612795,"MYD11A1","Day"
"318",2003-05-27,3.1986531986532,"MYD11A1","Day"
"319",2003-05-28,0.336700336700337,"MYD11A1","Day"
"320",2003-05-29,100,"MYD11A1","Day"
"321",2003-05-30,1.68350168350168,"MYD11A1","Day"
"322",2003-05-31,0.336700336700337,"MYD11A1","Day"
"323",2003-06-01,100,"MYD11A1","Day"
"324",2003-06-02,100,"MYD11A1","Day"
"325",2003-06-03,0,"MYD11A1","Day"
"326",2003-06-04,78.7878787878788,"MYD11A1","Day"
"327",2003-06-05,0,"MYD11A1","Day"
"328",2003-06-06,0.168350168350168,"MYD11A1","Day"
"329",2003-06-07,39.3939393939394,"MYD11A1","Day"
"330",2003-06-08,0,"MYD11A1","Day"
"331",2003-06-09,0,"MYD11A1","Day"
"332",2003-06-10,100,"MYD11A1","Day"
"333",2003-06-11,0,"MYD11A1","Day"
"334",2003-06-12,1.34680134680135,"MYD11A1","Day"
"335",2003-06-13,0,"MYD11A1","Day"
"336",2003-06-14,40.7407407407407,"MYD11A1","Day"
"337",2003-06-15,100,"MYD11A1","Day"
"338",2003-06-16,100,"MYD11A1","Day"
"339",2003-06-17,100,"MYD11A1","Day"
"340",2003-06-18,1.85185185185185,"MYD11A1","Day"
"341",2003-06-19,100,"MYD11A1","Day"
"342",2003-06-20,86.3636363636364,"MYD11A1","Day"
"343",2003-06-21,100,"MYD11A1","Day"
"344",2003-06-22,95.7912457912458,"MYD11A1","Day"
"345",2003-06-23,0.168350168350168,"MYD11A1","Day"
"346",2003-06-24,90.5723905723906,"MYD11A1","Day"
"347",2003-06-25,73.0639730639731,"MYD11A1","Day"
"348",2003-06-26,100,"MYD11A1","Day"
"349",2003-06-27,96.6329966329966,"MYD11A1","Day"
"350",2003-06-28,100,"MYD11A1","Day"
"351",2003-06-29,0.168350168350168,"MYD11A1","Day"
"352",2003-06-30,0.673400673400673,"MYD11A1","Day"
"353",2003-07-01,46.4646464646465,"MYD11A1","Day"
"354",2003-07-02,0.841750841750842,"MYD11A1","Day"
"355",2003-07-03,50.8417508417508,"MYD11A1","Day"
"356",2003-07-04,75.2525252525252,"MYD11A1","Day"
"357",2003-07-05,100,"MYD11A1","Day"
"358",2003-07-06,59.0909090909091,"MYD11A1","Day"
"359",2003-07-07,91.7508417508417,"MYD11A1","Day"
"360",2003-07-08,100,"MYD11A1","Day"
"361",2003-07-09,100,"MYD11A1","Day"
"362",2003-07-10,100,"MYD11A1","Day"
"363",2003-07-11,100,"MYD11A1","Day"
"364",2003-07-12,12.6262626262626,"MYD11A1","Day"
"365",2003-07-13,100,"MYD11A1","Day"
"366",2003-07-14,100,"MYD11A1","Day"
"367",2003-07-15,77.7777777777778,"MYD11A1","Day"
"368",2003-07-16,97.3063973063973,"MYD11A1","Day"
"369",2003-07-17,2.35690235690236,"MYD11A1","Day"
"370",2003-07-18,25.5892255892256,"MYD11A1","Day"
"371",2003-07-19,59.2592592592593,"MYD11A1","Day"
"372",2003-07-20,100,"MYD11A1","Day"
"373",2003-07-21,21.2121212121212,"MYD11A1","Day"
"374",2003-07-22,0,"MYD11A1","Day"
"375",2003-07-23,2.69360269360269,"MYD11A1","Day"
