"","timp","frecventa","tip","Day_night"
"1",2002-07-04,100,"MYD11A1","Night"
"2",2002-07-05,90.5723905723906,"MYD11A1","Night"
"3",2002-07-06,100,"MYD11A1","Night"
"4",2002-07-07,100,"MYD11A1","Night"
"5",2002-07-08,100,"MYD11A1","Night"
"6",2002-07-09,12.2895622895623,"MYD11A1","Night"
"7",2002-07-10,91.7508417508417,"MYD11A1","Night"
"8",2002-07-11,100,"MYD11A1","Night"
"9",2002-07-12,24.2424242424242,"MYD11A1","Night"
"10",2002-07-13,60.2693602693603,"MYD11A1","Night"
"11",2002-07-14,32.6599326599327,"MYD11A1","Night"
"12",2002-07-15,100,"MYD11A1","Night"
"13",2002-07-16,0.841750841750842,"MYD11A1","Night"
"14",2002-07-17,100,"MYD11A1","Night"
"15",2002-07-18,100,"MYD11A1","Night"
"16",2002-07-19,100,"MYD11A1","Night"
"17",2002-07-20,100,"MYD11A1","Night"
"18",2002-07-21,100,"MYD11A1","Night"
"19",2002-07-22,100,"MYD11A1","Night"
"20",2002-07-23,49.6632996632997,"MYD11A1","Night"
"21",2002-07-24,97.4747474747475,"MYD11A1","Night"
"22",2002-07-25,100,"MYD11A1","Night"
"23",2002-07-26,100,"MYD11A1","Night"
"24",2002-07-27,100,"MYD11A1","Night"
"25",2002-07-28,100,"MYD11A1","Night"
"26",2002-07-29,100,"MYD11A1","Night"
"27",2002-08-08,100,"MYD11A1","Night"
"28",2002-08-09,100,"MYD11A1","Night"
"29",2002-08-10,30.6397306397306,"MYD11A1","Night"
"30",2002-08-11,0.168350168350168,"MYD11A1","Night"
"31",2002-08-12,100,"MYD11A1","Night"
"32",2002-08-13,88.047138047138,"MYD11A1","Night"
"33",2002-08-14,100,"MYD11A1","Night"
"34",2002-08-15,100,"MYD11A1","Night"
"35",2002-08-16,100,"MYD11A1","Night"
"36",2002-08-17,100,"MYD11A1","Night"
"37",2002-08-18,0.505050505050505,"MYD11A1","Night"
"38",2002-08-19,49.8316498316498,"MYD11A1","Night"
"39",2002-08-20,0,"MYD11A1","Night"
"40",2002-08-21,100,"MYD11A1","Night"
"41",2002-08-22,0.673400673400673,"MYD11A1","Night"
"42",2002-08-23,7.07070707070707,"MYD11A1","Night"
"43",2002-08-24,0,"MYD11A1","Night"
"44",2002-08-25,6.56565656565657,"MYD11A1","Night"
"45",2002-08-26,0.673400673400673,"MYD11A1","Night"
"46",2002-08-27,0,"MYD11A1","Night"
"47",2002-08-28,0,"MYD11A1","Night"
"48",2002-08-29,0,"MYD11A1","Night"
"49",2002-08-30,96.969696969697,"MYD11A1","Night"
"50",2002-08-31,0,"MYD11A1","Night"
"51",2002-09-01,0,"MYD11A1","Night"
"52",2002-09-02,0,"MYD11A1","Night"
"53",2002-09-03,0,"MYD11A1","Night"
"54",2002-09-04,100,"MYD11A1","Night"
"55",2002-09-05,2.69360269360269,"MYD11A1","Night"
"56",2002-09-06,100,"MYD11A1","Night"
"57",2002-09-07,0,"MYD11A1","Night"
"58",2002-09-08,0.336700336700337,"MYD11A1","Night"
"59",2002-09-09,6.9023569023569,"MYD11A1","Night"
"60",2002-09-10,100,"MYD11A1","Night"
"61",2002-09-11,3.1986531986532,"MYD11A1","Night"
"62",2002-09-12,100,"MYD11A1","Night"
"63",2002-09-14,46.2962962962963,"MYD11A1","Night"
"64",2002-09-15,100,"MYD11A1","Night"
"65",2002-09-16,49.4949494949495,"MYD11A1","Night"
"66",2002-09-17,98.989898989899,"MYD11A1","Night"
"67",2002-09-18,100,"MYD11A1","Night"
"68",2002-09-19,100,"MYD11A1","Night"
"69",2002-09-20,86.3636363636364,"MYD11A1","Night"
"70",2002-09-21,70.8754208754209,"MYD11A1","Night"
"71",2002-09-22,100,"MYD11A1","Night"
"72",2002-09-23,100,"MYD11A1","Night"
"73",2002-09-24,100,"MYD11A1","Night"
"74",2002-09-25,83.8383838383838,"MYD11A1","Night"
"75",2002-09-26,100,"MYD11A1","Night"
"76",2002-09-27,29.6296296296296,"MYD11A1","Night"
"77",2002-09-28,58.7542087542088,"MYD11A1","Night"
"78",2002-09-29,98.6531986531987,"MYD11A1","Night"
"79",2002-09-30,100,"MYD11A1","Night"
"80",2002-10-01,100,"MYD11A1","Night"
"81",2002-10-02,0,"MYD11A1","Night"
"82",2002-10-03,0,"MYD11A1","Night"
"83",2002-10-04,34.1750841750842,"MYD11A1","Night"
"84",2002-10-05,100,"MYD11A1","Night"
"85",2002-10-06,100,"MYD11A1","Night"
"86",2002-10-07,62.1212121212121,"MYD11A1","Night"
"87",2002-10-08,100,"MYD11A1","Night"
"88",2002-10-09,7.74410774410774,"MYD11A1","Night"
"89",2002-10-10,42.9292929292929,"MYD11A1","Night"
"90",2002-10-11,100,"MYD11A1","Night"
"91",2002-10-12,100,"MYD11A1","Night"
"92",2002-10-13,89.2255892255892,"MYD11A1","Night"
"93",2002-10-14,100,"MYD11A1","Night"
"94",2002-10-15,100,"MYD11A1","Night"
"95",2002-10-16,87.2053872053872,"MYD11A1","Night"
"96",2002-10-17,100,"MYD11A1","Night"
"97",2002-10-18,0,"MYD11A1","Night"
"98",2002-10-19,0,"MYD11A1","Night"
"99",2002-10-20,88.2154882154882,"MYD11A1","Night"
"100",2002-10-21,98.6531986531987,"MYD11A1","Night"
"101",2002-10-22,100,"MYD11A1","Night"
"102",2002-10-23,90.9090909090909,"MYD11A1","Night"
"103",2002-10-24,100,"MYD11A1","Night"
"104",2002-10-25,45.1178451178451,"MYD11A1","Night"
"105",2002-10-26,15.1515151515152,"MYD11A1","Night"
"106",2002-10-27,38.7205387205387,"MYD11A1","Night"
"107",2002-10-28,2.52525252525253,"MYD11A1","Night"
"108",2002-10-29,75.7575757575758,"MYD11A1","Night"
"109",2002-10-30,49.3265993265993,"MYD11A1","Night"
"110",2002-10-31,100,"MYD11A1","Night"
"111",2002-11-01,100,"MYD11A1","Night"
"112",2002-11-02,100,"MYD11A1","Night"
"113",2002-11-03,100,"MYD11A1","Night"
"114",2002-11-04,100,"MYD11A1","Night"
"115",2002-11-05,76.0942760942761,"MYD11A1","Night"
"116",2002-11-06,36.8686868686869,"MYD11A1","Night"
"117",2002-11-07,100,"MYD11A1","Night"
"118",2002-11-08,8.92255892255892,"MYD11A1","Night"
"119",2002-11-09,100,"MYD11A1","Night"
"120",2002-11-10,76.0942760942761,"MYD11A1","Night"
"121",2002-11-11,95.4545454545455,"MYD11A1","Night"
"122",2002-11-12,37.2053872053872,"MYD11A1","Night"
"123",2002-11-13,27.2727272727273,"MYD11A1","Night"
"124",2002-11-14,72.7272727272727,"MYD11A1","Night"
"125",2002-11-15,100,"MYD11A1","Night"
"126",2002-11-16,100,"MYD11A1","Night"
"127",2002-11-17,100,"MYD11A1","Night"
"128",2002-11-18,100,"MYD11A1","Night"
"129",2002-11-19,20.3703703703704,"MYD11A1","Night"
"130",2002-11-20,100,"MYD11A1","Night"
"131",2002-11-21,3.36700336700337,"MYD11A1","Night"
"132",2002-11-22,85.6902356902357,"MYD11A1","Night"
"133",2002-11-23,94.7811447811448,"MYD11A1","Night"
"134",2002-11-24,14.983164983165,"MYD11A1","Night"
"135",2002-11-25,100,"MYD11A1","Night"
"136",2002-11-26,91.0774410774411,"MYD11A1","Night"
"137",2002-11-27,57.7441077441077,"MYD11A1","Night"
"138",2002-11-28,86.3636363636364,"MYD11A1","Night"
"139",2002-11-29,67.8451178451178,"MYD11A1","Night"
"140",2002-11-30,100,"MYD11A1","Night"
"141",2002-12-01,100,"MYD11A1","Night"
"142",2002-12-02,90.2356902356902,"MYD11A1","Night"
"143",2002-12-03,90.5723905723906,"MYD11A1","Night"
"144",2002-12-04,75.7575757575758,"MYD11A1","Night"
"145",2002-12-05,87.7104377104377,"MYD11A1","Night"
"146",2002-12-06,100,"MYD11A1","Night"
"147",2002-12-07,100,"MYD11A1","Night"
"148",2002-12-08,92.2558922558922,"MYD11A1","Night"
"149",2002-12-09,100,"MYD11A1","Night"
"150",2002-12-10,25.4208754208754,"MYD11A1","Night"
"151",2002-12-11,100,"MYD11A1","Night"
"152",2002-12-12,14.8148148148148,"MYD11A1","Night"
"153",2002-12-13,0.336700336700337,"MYD11A1","Night"
"154",2002-12-14,100,"MYD11A1","Night"
"155",2002-12-15,100,"MYD11A1","Night"
"156",2002-12-16,68.5185185185185,"MYD11A1","Night"
"157",2002-12-17,100,"MYD11A1","Night"
"158",2002-12-18,100,"MYD11A1","Night"
"159",2002-12-19,94.1077441077441,"MYD11A1","Night"
"160",2002-12-20,100,"MYD11A1","Night"
"161",2002-12-21,18.8552188552189,"MYD11A1","Night"
"162",2002-12-22,4.20875420875421,"MYD11A1","Night"
"163",2002-12-23,66.6666666666667,"MYD11A1","Night"
"164",2002-12-24,60.2693602693603,"MYD11A1","Night"
"165",2002-12-25,18.8552188552189,"MYD11A1","Night"
"166",2002-12-26,23.9057239057239,"MYD11A1","Night"
"167",2002-12-27,100,"MYD11A1","Night"
"168",2002-12-28,37.2053872053872,"MYD11A1","Night"
"169",2002-12-29,100,"MYD11A1","Night"
"170",2002-12-30,95.4545454545455,"MYD11A1","Night"
"171",2002-12-31,100,"MYD11A1","Night"
"172",2003-01-01,44.6127946127946,"MYD11A1","Night"
"173",2003-01-02,36.8686868686869,"MYD11A1","Night"
"174",2003-01-03,100,"MYD11A1","Night"
"175",2003-01-04,96.8013468013468,"MYD11A1","Night"
"176",2003-01-05,100,"MYD11A1","Night"
"177",2003-01-06,65.1515151515152,"MYD11A1","Night"
"178",2003-01-07,46.969696969697,"MYD11A1","Night"
"179",2003-01-08,50.1683501683502,"MYD11A1","Night"
"180",2003-01-09,63.1313131313131,"MYD11A1","Night"
"181",2003-01-10,100,"MYD11A1","Night"
"182",2003-01-11,81.1447811447811,"MYD11A1","Night"
"183",2003-01-12,100,"MYD11A1","Night"
"184",2003-01-13,32.4915824915825,"MYD11A1","Night"
"185",2003-01-14,91.5824915824916,"MYD11A1","Night"
"186",2003-01-15,91.5824915824916,"MYD11A1","Night"
"187",2003-01-16,27.2727272727273,"MYD11A1","Night"
"188",2003-01-17,85.5218855218855,"MYD11A1","Night"
"189",2003-01-18,7.07070707070707,"MYD11A1","Night"
"190",2003-01-19,99.6632996632997,"MYD11A1","Night"
"191",2003-01-20,70.7070707070707,"MYD11A1","Night"
"192",2003-01-21,100,"MYD11A1","Night"
"193",2003-01-22,97.3063973063973,"MYD11A1","Night"
"194",2003-01-23,100,"MYD11A1","Night"
"195",2003-01-24,94.7811447811448,"MYD11A1","Night"
"196",2003-01-25,100,"MYD11A1","Night"
"197",2003-01-26,100,"MYD11A1","Night"
"198",2003-01-27,100,"MYD11A1","Night"
"199",2003-01-28,100,"MYD11A1","Night"
"200",2003-01-29,66.4983164983165,"MYD11A1","Night"
"201",2003-01-30,35.1851851851852,"MYD11A1","Night"
"202",2003-01-31,58.2491582491582,"MYD11A1","Night"
"203",2003-02-01,100,"MYD11A1","Night"
"204",2003-02-02,94.4444444444444,"MYD11A1","Night"
"205",2003-02-03,93.4343434343434,"MYD11A1","Night"
"206",2003-02-04,23.0639730639731,"MYD11A1","Night"
"207",2003-02-05,85.5218855218855,"MYD11A1","Night"
"208",2003-02-06,100,"MYD11A1","Night"
"209",2003-02-07,64.983164983165,"MYD11A1","Night"
"210",2003-02-08,94.6127946127946,"MYD11A1","Night"
"211",2003-02-09,42.7609427609428,"MYD11A1","Night"
"212",2003-02-10,100,"MYD11A1","Night"
"213",2003-02-11,100,"MYD11A1","Night"
"214",2003-02-12,57.5757575757576,"MYD11A1","Night"
"215",2003-02-13,100,"MYD11A1","Night"
"216",2003-02-14,99.8316498316498,"MYD11A1","Night"
"217",2003-02-15,100,"MYD11A1","Night"
"218",2003-02-16,100,"MYD11A1","Night"
"219",2003-02-17,61.4478114478114,"MYD11A1","Night"
"220",2003-02-18,39.0572390572391,"MYD11A1","Night"
"221",2003-02-19,98.8215488215488,"MYD11A1","Night"
"222",2003-02-20,98.1481481481482,"MYD11A1","Night"
"223",2003-02-21,23.4006734006734,"MYD11A1","Night"
"224",2003-02-22,66.1616161616162,"MYD11A1","Night"
"225",2003-02-23,24.7474747474747,"MYD11A1","Night"
"226",2003-02-24,100,"MYD11A1","Night"
"227",2003-02-25,98.989898989899,"MYD11A1","Night"
"228",2003-02-26,100,"MYD11A1","Night"
"229",2003-02-27,100,"MYD11A1","Night"
"230",2003-02-28,11.6161616161616,"MYD11A1","Night"
"231",2003-03-01,100,"MYD11A1","Night"
"232",2003-03-02,62.962962962963,"MYD11A1","Night"
"233",2003-03-03,77.9461279461279,"MYD11A1","Night"
"234",2003-03-04,98.6531986531987,"MYD11A1","Night"
"235",2003-03-05,100,"MYD11A1","Night"
"236",2003-03-06,100,"MYD11A1","Night"
"237",2003-03-07,100,"MYD11A1","Night"
"238",2003-03-08,100,"MYD11A1","Night"
"239",2003-03-09,0.336700336700337,"MYD11A1","Night"
"240",2003-03-10,100,"MYD11A1","Night"
"241",2003-03-11,98.4848484848485,"MYD11A1","Night"
"242",2003-03-12,100,"MYD11A1","Night"
"243",2003-03-13,88.8888888888889,"MYD11A1","Night"
"244",2003-03-14,100,"MYD11A1","Night"
"245",2003-03-15,100,"MYD11A1","Night"
"246",2003-03-16,24.7474747474747,"MYD11A1","Night"
"247",2003-03-17,100,"MYD11A1","Night"
"248",2003-03-18,27.6094276094276,"MYD11A1","Night"
