Nr;Oras;Lat;Lon
1;Dorohoi;47.954149;26.399782
2;Rădăuți;47.844403;25.914881
3;Suceava;47.648393;26.257020
4;Botoșani;47.742799;26.662831
5;Fălticeni;47.460704;26.299914
6;Pașcani;47.247117;26.721355
7;Iași;47.148297;27.592544
8;Roman;46.924810;26.931896
9;Piatra Neamț;46.931177;26.364321
10;Vaslui;46.637393;27.726133
11;Huși;46.676757;28.059460
12;Bacău;46.567083;26.905392
13;Bârlad;46.226123;27.666166
14;Moinești;46.474842;26.492843
15;Comănești;46.426770;26.418179
16;Onești;46.253955;26.782220
