data;scen_anom_mean;scen_anom_max;scen_anom_min;scen_param_mean;scen_param_max;scen_param_min;obs_mean;obs_anom;symb;scen
1971-01-01;-0.6;0.7;-1.6;14.1;15.3;13;14.6;-0.1;neg;RCP8.5
1972-01-01;1;2.4;-0.7;15.7;17.1;13.9;14.3;-0.4;neg;RCP8.5
1973-01-01;0;1.9;-1.1;14.6;16.6;13.5;14.8;0.1;pos;RCP8.5
1974-01-01;-0.1;1.1;-1.3;14.6;15.8;13.3;14.8;0.1;pos;RCP8.5
1975-01-01;-1;0.2;-3.1;13.7;14.9;11.6;15.9;1.2;pos;RCP8.5
1976-01-01;-0.9;0.2;-2.1;13.8;14.9;12.6;13.1;-1.6;neg;RCP8.5
1977-01-01;0.1;1.8;-1.7;14.8;16.4;13;14.7;0;neg;RCP8.5
1978-01-01;-0.3;1;-1.6;14.4;15.7;13;13.6;-1.1;neg;RCP8.5
1979-01-01;0.6;1.9;-0.3;15.3;16.5;14.4;14.9;0.2;pos;RCP8.5
1980-01-01;0.4;2.6;-1.2;15.1;17.2;13.5;12.9;-1.8;neg;RCP8.5
1981-01-01;0.1;2.9;-1.8;14.8;17.5;12.9;14.5;-0.2;neg;RCP8.5
1982-01-01;0;1.5;-1.1;14.7;16.2;13.6;15;0.3;pos;RCP8.5
1983-01-01;0.4;2.4;-1.3;15.1;17;13.4;16.2;1.5;pos;RCP8.5
1984-01-01;-0.2;0.6;-2;14.4;15.3;12.7;14;-0.7;neg;RCP8.5
1985-01-01;-0.3;1.4;-1.6;14.4;16.1;13.1;13.1;-1.6;neg;RCP8.5
1986-01-01;-0.6;0.8;-1.8;14.1;15.5;12.8;15;0.3;pos;RCP8.5
1987-01-01;-0.5;1;-3;14.2;15.7;11.6;13.4;-1.3;neg;RCP8.5
1988-01-01;-0.4;2.1;-1.7;14.2;16.8;13;14;-0.7;neg;RCP8.5
1989-01-01;-0.2;2.3;-2.9;14.4;16.9;11.8;16.2;1.5;pos;RCP8.5
1990-01-01;-0.2;2;-1.8;14.5;16.6;12.8;16.8;2.1;pos;RCP8.5
1991-01-01;0.3;1.2;-1.9;14.9;15.9;12.7;13.8;-0.9;neg;RCP8.5
1992-01-01;0.5;2.7;-0.9;15.1;17.4;13.7;15.1;0.4;pos;RCP8.5
1993-01-01;0.5;2.3;-1.1;15.2;17;13.5;14.4;-0.3;neg;RCP8.5
1994-01-01;0;1.5;-1.2;14.6;16.2;13.5;16.6;1.9;pos;RCP8.5
1995-01-01;0;1.6;-2.8;14.7;16.2;11.9;14.7;0;neg;RCP8.5
1996-01-01;-0.1;1.7;-1.1;14.6;16.3;13.6;13.1;-1.6;neg;RCP8.5
1997-01-01;0.2;1.8;-1.4;14.9;16.4;13.3;14;-0.7;neg;RCP8.5
1998-01-01;0.5;2.1;-0.6;15.2;16.7;14;14.7;0;neg;RCP8.5
1999-01-01;0.4;1.8;-1.2;15.1;16.5;13.4;15.8;1.1;pos;RCP8.5
2000-01-01;0.7;2.3;-1.6;15.4;17;13.1;16.5;1.8;pos;RCP8.5
2001-01-01;0.7;1.8;-0.5;15.4;16.4;14.2;NA;0.7;pos;RCP8.5
2002-01-01;0.5;1.4;-0.1;15.2;16;14.6;NA;0.5;pos;RCP8.5
2003-01-01;0.5;2.7;-1.2;15.2;17.3;13.4;NA;0.5;pos;RCP8.5
2004-01-01;0.5;1.5;-0.5;15.2;16.1;14.2;NA;0.5;pos;RCP8.5
2005-01-01;0.9;2.4;-2.7;15.6;17.1;12;NA;0.9;pos;RCP8.5
2006-01-01;0.7;2.9;-0.6;15.4;17.5;14.1;NA;1.4;pos;RCP8.5
2007-01-01;0.9;2.9;-1.1;15.6;17.5;13.6;NA;0.1;pos;RCP8.5
2008-01-01;0.9;2.7;-0.1;15.6;17.4;14.6;NA;0.7;pos;RCP8.5
2009-01-01;0.2;1.2;-1.7;14.9;15.9;12.9;NA;0.5;pos;RCP8.5
2010-01-01;0.1;1.7;-1.5;14.8;16.4;13.2;NA;0.4;pos;RCP8.5
2011-01-01;0.2;2;-1.5;14.9;16.6;13.1;NA;1;pos;RCP8.5
2012-01-01;1.1;2.7;-0.3;15.7;17.4;14.4;NA;1;pos;RCP8.5
2013-01-01;0.6;1.5;-0.3;15.3;16.2;14.3;NA;0.9;pos;RCP8.5
2014-01-01;1.1;2.8;-0.4;15.8;17.5;14.3;NA;0.8;pos;RCP8.5
2015-01-01;1.4;2.5;-0.3;16;17.2;14.3;NA;0.6;pos;RCP8.5
2016-01-01;0.7;2.2;-0.8;15.3;16.9;13.8;NA;1;pos;RCP8.5
2017-01-01;0.7;3.3;-1.7;15.4;18;13;NA;0.6;pos;RCP8.5
2018-01-01;0.9;3.7;-2.1;15.5;18.3;12.6;NA;-0.4;neg;RCP8.5
2019-01-01;1.5;2.9;0.4;16.2;17.5;15.1;NA;0.7;pos;RCP8.5
2020-01-01;1.4;3.2;-0.2;16.1;17.8;14.5;NA;0.8;pos;RCP8.5
2021-01-01;0.6;2.2;-0.8;15.2;16.8;13.9;NA;NA;NA;RCP8.5
2022-01-01;0.8;1.5;-0.7;15.5;16.2;14;NA;NA;NA;RCP8.5
2023-01-01;1;3;-0.6;15.6;17.7;14.1;NA;NA;NA;RCP8.5
2024-01-01;1;3;-3;15.7;17.6;11.7;NA;NA;NA;RCP8.5
