data;scen_anom_mean;scen_anom_max;scen_anom_min;scen_param_mean;scen_param_max;scen_param_min;obs_mean;obs_anom;symb;scen
1971-01-01;-0.3;0.5;-1.4;4.8;5.6;3.8;5.1;-0.1;neg;RCP8.5
1972-01-01;0.4;1.5;-1.1;5.5;6.7;4;5.1;-0.1;neg;RCP8.5
1973-01-01;-0.1;1.7;-1.4;5;6.8;3.7;4.6;-0.6;neg;RCP8.5
1974-01-01;-0.1;1.2;-1.1;5.1;6.4;4;5.3;0.1;pos;RCP8.5
1975-01-01;-0.9;0;-2.1;4.3;5.1;3.1;6.1;0.9;pos;RCP8.5
1976-01-01;-0.8;0.4;-2;4.4;5.5;3.1;4.1;-1.1;neg;RCP8.5
1977-01-01;0.1;1;-1.2;5.2;6.1;4;5.2;0;neg;RCP8.5
1978-01-01;-0.2;1;-1.8;4.9;6.1;3.3;4.6;-0.6;neg;RCP8.5
1979-01-01;0.4;1.5;-0.6;5.5;6.6;4.5;5.4;0.2;pos;RCP8.5
1980-01-01;0.3;1.9;-1.3;5.4;7;3.9;4.2;-1;neg;RCP8.5
1981-01-01;0;1.6;-1.1;5.1;6.7;4;5.1;-0.1;neg;RCP8.5
1982-01-01;-0.3;0.8;-1.5;4.9;5.9;3.7;5.1;-0.1;neg;RCP8.5
1983-01-01;0.2;1.8;-1.7;5.3;6.9;3.4;5.4;0.2;pos;RCP8.5
1984-01-01;-0.3;0.7;-1.1;4.8;5.8;4;5.1;-0.1;neg;RCP8.5
1985-01-01;-0.2;0.8;-1.9;4.9;5.9;3.3;3.6;-1.6;neg;RCP8.5
1986-01-01;-0.4;0.4;-1.4;4.7;5.5;3.7;4.9;-0.3;neg;RCP8.5
1987-01-01;-0.4;0.7;-3.5;4.7;5.9;1.6;4;-1.2;neg;RCP8.5
1988-01-01;-0.2;1.4;-1.3;4.9;6.5;3.8;5;-0.2;neg;RCP8.5
1989-01-01;0;1.7;-2;5.1;6.8;3.1;6.4;1.2;pos;RCP8.5
1990-01-01;-0.2;1.4;-1.6;4.9;6.5;3.5;6.3;1.1;pos;RCP8.5
1991-01-01;0.3;1.1;-1.2;5.5;6.3;3.9;5.5;0.3;pos;RCP8.5
1992-01-01;0.2;1.3;-1.2;5.3;6.4;3.9;5.4;0.2;pos;RCP8.5
1993-01-01;0.6;1.8;-0.4;5.8;6.9;4.7;4.6;-0.6;neg;RCP8.5
1994-01-01;0.1;1.1;-0.8;5.3;6.2;4.3;6.3;1.1;pos;RCP8.5
1995-01-01;0.1;1.2;-1;5.2;6.3;4.1;5.2;0;neg;RCP8.5
1996-01-01;0.1;1.2;-0.5;5.2;6.3;4.7;4.5;-0.7;neg;RCP8.5
1997-01-01;0.2;1.4;-1.4;5.3;6.5;3.8;4.8;-0.4;neg;RCP8.5
1998-01-01;0.6;1.5;-0.2;5.7;6.7;4.9;5.4;0.2;pos;RCP8.5
